Ticker,Mean,Median,Std Dev,Min,Max,Count
MMM,0.0004791630614844778,0.00010309166748527601,0.015065692689588246,-0.06034671921346975,0.1284053678872434,656
AOS,0.00023546859638237896,7.118958171146575e-05,0.01283596545492058,-0.058901049715258794,0.05814312961271759,656
ABT,0.000515388359867749,0.0006701271997988838,0.011518790747072719,-0.05174116823283502,0.04447918921544947,656
ABBV,0.00046359335863172896,0.0005360536311424706,0.012896552761370375,-0.06519996643066406,0.06856799213832382,656
ACN,0.0006259583121862782,0.0008618561632929166,0.01232591231821338,-0.0520893210356408,0.0712142944335938,656
ADBE,0.0004707070164571356,0.0005998999381478963,0.015573372025568516,-0.07330064329541408,0.07645989596959665,656
AMD,0.0007649678756718699,0.0006780807383874952,0.025723166763505653,-0.09342880225762011,0.2224185161030109,656
AES,-0.001433560335340574,0.0,0.021400858407770253,-0.10035524791042841,0.1040634464673976,656
AFL,0.00048322236758517844,0.0009137234187641318,0.01124185607809569,-0.06731290678127178,0.0751480541850585,656
A,-0.0001136450667500115,-0.00027143251247876586,0.014908966709403384,-0.06383176314261427,0.09167862244532751,656
APD,0.00034594328694400803,0.0009785591663639566,0.012763327054093446,-0.06803871828922184,0.09335170504754534,656
ABNB,0.0016275596739283246,0.0012784905478551926,0.019367482829415618,-0.05721983522974217,0.14745101525496415,656
AKAM,-0.0001073221847424372,0.00023289965275959617,0.015162160561659505,-0.13786513082097085,0.12943787274417928,656
ALB,-0.0018498667301430716,-0.0019545222618596986,0.02803094889862668,-0.1556886356727372,0.19340839561671913,656
ARE,-0.0010410962264246993,-0.0011602349091979682,0.01723046929620068,-0.08513710340636495,0.0787071129546803,656
ALGN,6.596957453629057e-06,-0.0008036979628916529,0.022386317179809597,-0.09775575946266502,0.15810525459155703,656
ALLE,0.0002151494817294208,0.00042856274195810125,0.012755838189003563,-0.05670883134424126,0.0614834471765295,656
LNT,0.0002490103041920665,0.0008179660567886862,0.011500592778489162,-0.05556411486107856,0.0379659700950273,656
ALL,2.3229914986510245e-05,0.00021006299097776784,0.01415986342148173,-0.07798368323855806,0.07222222222222219,656
GOOGL,0.0012147521715701647,0.0019378342093601796,0.014753597915050674,-0.07740124821133763,0.0989475746163987,656
GOOG,0.0012522313931506888,0.0021005021979692553,0.014788879433394977,-0.07990608591082857,0.10066285480229521,656
MO,0.0007295872009508485,0.0005100441841308155,0.010512936801482223,-0.06834364285308213,0.05994546423372437,656
AMZN,0.0008983178061428895,0.0008026953052867919,0.01597278042129164,-0.07865892350859399,0.11027197028099861,656
AMCR,-0.0004380411399324047,-0.000994560421986654,0.011027662356653303,-0.07497360275890821,0.06619390272950378,656
AEE,0.00018605398141178904,0.000403109591410371,0.011745292836837937,-0.08232420008481464,0.04376839779784598,656
AEP,0.0001265731898537725,0.0006390129842523262,0.011462474604463339,-0.05928626661382303,0.042019985970285,656
AXP,0.0009440945869101513,0.0010762857723812269,0.014291721673376813,-0.05873978901619211,0.1559745223409547,656
AIG,0.0002968607742816359,0.0005925029855263942,0.013066732424783505,-0.06201736169965909,0.08219000412723038,656
AMT,0.00030470207277576784,0.00015838966424097073,0.013859316356174567,-0.05567229709344111,0.07398771508339723,656
AWK,0.00015890953818478013,0.00010372831441718598,0.012369736871410962,-0.05012905982232866,0.058914566946071244,656
