Date,Close,High,Low,Open,Volume
2010-01-04,85.02794647216797,85.07296075892475,83.66245777428928,84.30768926358206,118944600
2010-01-05,85.25302124023438,85.29053696087703,84.66781263241886,84.9754255142218,111579900
2010-01-06,85.31304931640625,85.52312362701232,85.10297500580018,85.17049643816827,116074400
2010-01-07,85.67316436767578,85.77820150283898,84.9153915576316,85.15547725573244,131091100
2010-01-08,85.95829010009766,85.99580582707975,85.27554851697471,85.44810712326122,126402800
2010-01-11,86.07833099365234,86.37843389620265,85.71069520706509,86.34092389543184,106375700
2010-01-12,85.27552032470703,85.6881645646075,84.94540035351115,85.50810172763447,163333500
2010-01-13,85.99584197998047,86.23592785094829,85.05800565212206,85.49315735793337,161822000
2010-01-14,86.22840118408203,86.38595695938974,85.8457624588506,85.89828105061984,115718800
2010-01-15,85.2605209350586,86.16084094101707,84.93040092829615,86.07831666342146,212283100
2010-01-19,86.32591247558594,86.37843105421389,85.22301660030314,85.24552946894006,139172700
2010-01-20,85.44810485839844,85.8682535137993,84.76536329337203,85.74070920399491,216490200
2010-01-21,83.8050308227539,85.73322159736074,83.69999363846382,85.47062863663554,344859600
2010-01-22,81.93685150146484,83.835030569462,81.84681718859159,83.429884747677,345942400
2010-01-25,82.35700988769531,82.83718722218961,82.08691836543186,82.6871300163798,186937500
2010-01-26,82.0118637084961,82.88217808378711,81.80929369305862,82.03437085197854,211168800
2010-01-27,82.40202331542969,82.58959051460488,81.27662012037852,81.90684316204079,271863600
2010-01-28,81.4566879272461,82.71713981046467,80.96151346817648,82.67212551166662,316104000
2010-01-29,80.57137298583984,82.37952369876156,80.44382865252344,81.809317758392,310677600
2010-02-01,81.82429504394531,81.83179933300008,80.65387781159914,81.14155356644184,187865000
2010-02-02,82.81462097167969,82.9721766431577,81.68921841189956,81.97432405713032,216327900
2010-02-03,82.40202331542969,82.88969917810452,82.1619375294493,82.43953332080673,172730700
2010-02-04,79.85860443115234,81.80179766942382,79.84359585125053,81.76428766786144,356715700
2010-02-05,80.02366638183594,80.18872069603596,78.4631060322486,79.94863492872223,493585800
2010-02-08,79.44597625732422,80.52636534439445,79.38595336935417,80.08370370073743,224166900
2010-02-09,80.44378662109375,81.14153653020928,79.73102813701985,80.37625948196944,337820500
2010-02-10,80.2862548828125,80.72891066655419,79.61101191057477,80.31626631758928,240511500
2010-02-11,81.12657928466797,81.21661361910107,79.71607572313616,80.1812445315605,223591600
2010-02-12,81.05903625488281,81.10405054807093,79.91112598581573,80.27125177951318,304622100
2010-02-16,82.3344955444336,82.41702556939421,80.89398083909717,81.67426106884521,159317500
2010-02-17,82.7246322631836,82.8371737181703,82.33448931577583,82.73213082917884,168845100
2010-02-18,83.2123031616211,83.38486175484019,82.5595673405983,82.58957877509202,193708600
2010-02-19,83.38484191894531,83.70745760788799,82.79963339576894,82.99470481152588,222684900
2010-02-22,83.3998794555664,83.7149909660704,83.1522893869862,83.69248381876247,132346900
2010-02-23,82.38700103759766,83.42987403371188,82.16942243583414,83.17478543280714,207497000
2010-02-24,83.14482879638672,83.27987747531067,82.4245710834922,82.63464553424066,176350700
2010-02-25,83.0322265625,83.09224942571002,81.73426505913126,81.9593422100259,259634700
2010-02-26,83.08474731445312,83.36985306012575,82.61208013349993,83.10725445772299,173589300
2010-03-01,83.94757843017578,84.0301084589114,83.40738395994157,83.42989110885185,147709700
2010-03-02,84.18016052246094,84.58530637796696,84.03010904594623,84.30771057400504,160992400
2010-03-03,84.25518035888672,84.75785903235563,84.04510030701829,84.3977275246773,150785000
2010-03-04,84.51029205322266,84.63033782992471,84.05262754671706,84.3677391244134,135770400
2010-03-05,85.71818542480469,85.78570684956496,84.85537541137714,85.05795113384801,176118800
2010-03-08,85.73316955566406,85.92073666005336,85.58311816179011,85.725670992836,114631200
2010-03-09,85.87576293945312,86.27340447268001,85.4331071116259,85.47812140622624,154556700
2010-03-10,86.25841522216797,86.49099674641886,85.83826647536704,85.91329221956758,186088800
2010-03-11,86.61852264404297,86.64103551419807,85.79322818533643,86.05582109618449,160791100
2010-03-12,86.6259994506836,87.00863798457641,86.38591376206531,86.9936294092347,162074800
2010-03-15,86.64855194091797,86.70857482551173,85.98081309108005,86.47599330283258,146816800
2010-03-16,87.33881378173828,87.42133810249159,86.64856197715496,86.88864781924107,168673000
2010-03-17,87.85646057128906,88.14156633080017,87.34627764405919,87.60137196972198,177468100
2010-03-18,87.81143951416016,87.98399809036769,87.45881234874223,87.8639580883227,196509100
2010-03-19,87.36693572998047,88.36136814601387,87.02792115208318,87.36693572998047,226641100
2010-03-22,87.83406066894531,87.99227100453224,86.81702789080464,86.86976275344396,184477800
2010-03-23,88.4518051147461,88.5271397989199,87.6758411995187,87.96212104611435,182941600
2010-03-24,88.02237701416016,88.46686137975392,87.0731497376054,88.12031726721794,196072600
2010-03-25,87.87925720214844,89.02435942413855,87.773787487531,88.61754520447055,223396300
2010-03-26,87.82650756835938,88.45932574959475,87.4799634575399,88.04498215407179,205808500
2010-03-29,88.38399505615234,88.54219960859103,87.90938139883625,88.27099016221965,134513500
2010-03-30,88.44425201416016,88.76819626341768,88.0751081130838,88.48945166597898,145772500
2010-03-31,88.1429214477539,88.53466523632568,87.84911216940814,88.1052512335382,161078700
2010-04-01,88.74560546875,89.08461438722428,88.21825123730764,88.74560546875,161215200
